Date,lstmkospi,grukospi,lstmsemi,grusemi,lstmlog,grulog,arimakospi,arimasemi,arimalog,fbkospi,fblog,fbsemi,nukospi,nulog,nusemi,kospivol,semivol,logvol,P_lstmkospi,P_grukospi,P_lstmsemi,P_grusemi,P_lstmlog,P_grulog,P_arimakospi,P_arimasemi,P_arimalog,P_fbkospi,P_fblog,P_fbsemi,P_nukospi,P_nulog,P_nusemi
2017-01-02,18645,18645,19918,19918,2750,2750,18645,19918,2750,18645,2750,19918,18645,2750,19918,124950,5417,993,,,,,,,,,,,,,,,
2017-01-03,18776,18776,20102,20102,2759,2759,18776,20102,2759,18776,2759,20102,18776,2759,20102,139803,3063,1305,,,,,,,,,,,,,,,
2017-01-04,18738,18738,19773,19773,2764,2764,18738,19773,2764,18738,2764,19773,18738,2764,19773,140768,22710,2082,,,,,,,,,,,,,,,
2017-01-05,18716,18716,19753,19753,2778,2778,18716,19753,2778,18716,2778,19753,18716,2778,19753,139378,5613,5427,,,,,,,,,,,,,,,
2017-01-06,18815,18815,19928,19928,2773,2773,18815,19928,2773,18815,2773,19928,18815,2773,19928,133390,5545,25212,,,,,,,,,,,,,,,
2017-01-09,18788,18788,20319,20319,2731,2731,18788,20319,2731,18788,2731,20319,18788,2731,20319,135318,5453,12029,,,,,,,,,,,,,,,
2017-01-10,18772,18772,20111,20111,2711,2711,18772,20111,2711,18772,2711,20111,18772,2711,20111,496257,38579,14714,,,,,,,,,,,,,,,
2017-01-11,19046,19046,20399,20399,2726,2726,19046,20399,2726,19046,2726,20399,19046,2726,20399,304636,4264,8183,,,,,,,,,,,,,,,
2017-01-12,19041,19041,20217,20217,2783,2783,19041,20217,2783,19041,2783,20217,19041,2783,20217,298969,14913,4096,,,,,,,,,,,,,,,
2017-01-13,19054,19054,20087,20087,2764,2764,19054,20087,2764,19054,2764,20087,19054,2764,20087,391246,57978,1534,,,,,,,,,,,,,,,
2017-01-16,18969,18969,19644,19644,2783,2783,18969,19644,2783,18969,2783,19644,18969,2783,19644,306688,15402,8803,,,,,,,,,,,,,,,
2017-01-17,18948,18948,19644,19644,2788,2788,18948,19644,2788,18948,2788,19644,18948,2788,19644,199197,4369,9769,,,,,,,,,,,,,,,
2017-01-18,18992,18992,19773,19773,2803,2803,18992,19773,2803,18992,2803,19773,18992,2803,19773,132492,3207,67253,,,,,,,,,,,,,,,
2017-01-19,19025,19025,19807,19807,2813,2813,19025,19807,2813,19025,2813,19807,19025,2813,19807,117787,14110,29069,,,,,,,,,,,,,,,
2017-01-20,18948,18948,19620,19620,2828,2828,18948,19620,2828,18948,2828,19620,18948,2828,19620,143536,2894,1748,,,,,,,,,,,,,,,
2017-01-23,18948,18948,19744,19744,2833,2833,18948,19744,2833,18948,2833,19744,18948,2833,19744,129276,6253,4573,,,,,,,,,,,,,,,
2017-01-24,18938,18938,19807,19807,2783,2783,18938,19807,2783,18938,2783,19807,18938,2783,19807,122135,13837,10245,,,,,,,,,,,,,,,
2017-01-25,18961,18961,19871,19871,2741,2741,18961,19871,2741,18961,2741,19871,18961,2741,19871,117584,2566,6671,,,,,,,,,,,,,,,
2017-01-26,19104,19104,20207,20207,2764,2764,19104,20207,2764,19104,2764,20207,19104,2764,20207,120362,5623,12103,,,,,,,,,,,,,,,
2017-01-31,19005,19005,20377,20377,2731,2731,19005,20377,2731,19005,2731,20377,19005,2731,20377,156645,3461,2743,,,,,,,,,,,,,,,
2017-02-01,19054,19054,20348,20348,2750,2750,19054,20348,2750,19054,2750,20348,19054,2750,20348,119876,7426,3366,,,,,,,,,,,,,,,
